dateid,date,day,month,year,quarter
20050701,2005-07-01,01,7,2005,Q3
20190508,2019-05-08,08,5,2019,Q2
20041001,2004-10-01,01,10,2004,Q1
20040701,2004-07-01,01,7,2004,Q3
20190331,2019-03-31,31,3,2019,Q1
20040301,2004-03-01,01,3,2004,Q1
20190531,2019-05-31,31,5,2019,Q2
20031101,2003-11-01,01,11,2003,Q1
20191008,2019-10-08,08,10,2019,Q1
20031201,2003-12-01,01,12,2003,Q1
20190327,2019-03-27,27,3,2019,Q1
20040201,2004-02-01,01,2,2004,Q1
20200213,2020-02-13,13,2,2020,Q1
20190610,2019-06-10,10,6,2019,Q2
20050501,2005-05-01,01,5,2005,Q2
20190504,2019-05-04,04,5,2019,Q2
20040101,2004-01-01,01,1,2004,Q1
20190601,2019-06-01,01,6,2019,Q2
20030901,2003-09-01,01,9,2003,Q3
20191007,2019-10-07,07,10,2019,Q1
20040401,2004-04-01,01,4,2004,Q2
20200217,2020-02-17,17,2,2020,Q1
20021101,2002-11-01,01,11,2002,Q1
20190228,2019-02-28,28,2,2019,Q1
20040601,2004-06-01,01,6,2004,Q2
20200221,2020-02-21,21,2,2020,Q1
20040801,2004-08-01,01,8,2004,Q3
20190528,2019-05-28,28,5,2019,Q2
20191119,2019-11-19,19,11,2019,Q1
20191025,2019-10-25,25,10,2019,Q1
20050301,2005-03-01,01,3,2005,Q1
20190509,2019-05-09,09,5,2019,Q2
20191011,2019-10-11,11,10,2019,Q1
20190507,2019-05-07,07,5,2019,Q2
20040901,2004-09-01,01,9,2004,Q3
20190503,2019-05-03,03,5,2019,Q2
20041201,2004-12-01,01,12,2004,Q1
20190506,2019-05-06,06,5,2019,Q2
20030201,2003-02-01,01,2,2003,Q1
20190329,2019-03-29,29,3,2019,Q1
20050801,2005-08-01,01,8,2005,Q3
20190520,2019-05-20,20,5,2019,Q2
20050101,2005-01-01,01,1,2005,Q1
20020901,2002-09-01,01,9,2002,Q3
20190227,2019-02-27,27,2,2019,Q1
20200219,2020-02-19,19,2,2020,Q1
20191020,2019-10-20,20,10,2019,Q1
20040501,2004-05-01,01,5,2004,Q2
20190825,2019-08-25,25,8,2019,Q3
20050601,2005-06-01,01,6,2005,Q2
20190519,2019-05-19,19,5,2019,Q2
20050401,2005-04-01,01,4,2005,Q2
20030101,2003-01-01,01,1,2003,Q1
20190424,2019-04-24,24,4,2019,Q2
20190313,2019-03-13,13,3,2019,Q1
20191211,2019-12-11,11,12,2019,Q1
20190220,2019-02-20,20,2,2019,Q1
20200315,2020-03-15,15,3,2020,Q1
20190202,2019-02-02,02,2,2019,Q1
20190206,2019-02-06,06,2,2019,Q1
20031001,2003-10-01,01,10,2003,Q1
20191212,2019-12-12,12,12,2019,Q1
20200115,2020-01-15,15,1,2020,Q1
20200116,2020-01-16,16,1,2020,Q1
20200312,2020-03-12,12,3,2020,Q1
20191122,2019-11-22,22,11,2019,Q1
20190309,2019-03-09,09,3,2019,Q1
20191210,2019-12-10,10,12,2019,Q1
20190426,2019-04-26,26,4,2019,Q2
20190201,2019-02-01,01,2,2019,Q1
20200422,2020-04-22,22,4,2020,Q2
20200310,2020-03-10,10,3,2020,Q1
20190427,2019-04-27,27,4,2019,Q2
20190428,2019-04-28,28,4,2019,Q2
20191111,2019-11-11,11,11,2019,Q1
20200311,2020-03-11,11,3,2020,Q1
20190222,2019-02-22,22,2,2019,Q1
20190207,2019-02-07,07,2,2019,Q1
20200129,2020-01-29,29,1,2020,Q1
20191215,2019-12-15,15,12,2019,Q1
20191205,2019-12-05,05,12,2019,Q1
20041101,2004-11-01,01,11,2004,Q1
20190203,2019-02-03,03,2,2019,Q1
20190405,2019-04-05,05,4,2019,Q2
20190129,2019-01-29,29,1,2019,Q1
20190225,2019-02-25,25,2,2019,Q1
20200309,2020-03-09,09,3,2020,Q1
20190303,2019-03-03,03,3,2019,Q1
20200102,2020-01-02,02,1,2020,Q1
20200418,2020-04-18,18,4,2020,Q2
20190301,2019-03-01,01,3,2019,Q1
20190325,2019-03-25,25,3,2019,Q1
20191204,2019-12-04,04,12,2019,Q1
20190205,2019-02-05,05,2,2019,Q1
20191216,2019-12-16,16,12,2019,Q1
20190210,2019-02-10,10,2,2019,Q1
20191209,2019-12-09,09,12,2019,Q1
20200204,2020-02-04,04,2,2020,Q1
20190505,2019-05-05,05,5,2019,Q2
20050201,2005-02-01,01,2,2005,Q1
20190321,2019-03-21,21,3,2019,Q1
20190224,2019-02-24,24,2,2019,Q1
20200409,2020-04-09,09,4,2020,Q2
20191021,2019-10-21,21,10,2019,Q1
20191024,2019-10-24,24,10,2019,Q1
20191108,2019-11-08,08,11,2019,Q1
