geoid,region,country_name,continent
41de,mecklenburg-vorpommern,Germany,Europe
112us,south-east usa,USA,North America
73ie,connaught,Ireland,Europe
84it,north italy,Italy,Europe
45de,bavaria,Germany,Europe
46de,brandenburg,Germany,Europe
97nz,northern island-northern,New Zealand,Oceania
48de,lower saxony,Germany,Europe
119us,north west usa,USA,North America
510es,castilla,Spain,Europe
1011uk,north west england,United Kingdom,Europe
712ie,munster,Ireland,Europe
1013uk,north east england,United Kingdom,Europe
414de,saxony,Germany,Europe
516es,vascongadas,Spain,Europe
617fr,north west france,France,Europe
518es,andalucia,Spain,Europe
919nz,south island-southern,New Zealand,Oceania
720ie,leinster,Ireland,Europe
321ca,atlantic provinces,Canada,North America
422de,berlin,Germany,Europe
423de,north rhine-westphalla,Germany,Europe
424de,hamburg,Germany,Europe
825it,center italy,Italy,Europe
526es,galicia,Spain,Europe
527es,aragon,Spain,Europe
728ie,ulster,Ireland,Europe
630fr,upland france,France,Europe
531es,asturleon,Spain,Europe
432de,schleswig-holstein,Germany,Europe
333ca,quebec,Canada,North America
1034uk,south west england,United Kingdom,Europe
1035uk,scotland,United Kingdom,Europe
1040uk,london,United Kingdom,Europe
1043uk,wales,United Kingdom,Europe
246be,wallonia,Belgium,Europe
148au,tasmania,Australia,Oceania
350ca,british columbia,Canada,North America
1056uk,east midlands,United Kingdom,Europe
857it,south italy,Italy,Europe
458de,rhineland-palatinate,Germany,Europe
1162us,mid-west usa,USA,North America
465de,saxony-anhalt,Germany,Europe
466de,baden-wuttemberg,Germany,Europe
167au,victoria,Australia,Oceania
1172us,south west usa,USA,North America
1175us,mid-atalntic,USA,North America
676fr,north east france,France,Europe
478de,bremen,Germany,Europe
984nz,north island-central east,New Zealand,Oceania
4102de,saarland,Germany,Europe
10103uk,west midlands,United Kingdom,Europe
4111de,hessen,Germany,Europe
6112fr,heart of france,France,Europe
3117ca,ontario,Canada,North America
1143au,queensland,Australia,Oceania
2149be,flanders,Belgium,Europe
10152uk,east england,United Kingdom,Europe
1167au,new south wales,Australia,Oceania
3195ca,the north,Canada,North America
1199au,south australia,Australia,Oceania
10252uk,yorkshire,United Kingdom,Europe
1254au,western australia,Australia,Oceania
10255uk,south east england,United Kingdom,Europe
1343au,northern territory,Australia,Oceania
2351be,brussels,Belgium,Europe
11368us,north-east usa,USA,North America
6387fr,le midi france,France,Europe
4404de,thuringia,Germany,Europe
3448ca,prairie provinces,Canada,North America
11454us,west usa,USA,North America
9598nz,south island-central,New Zealand,Oceania
91182nz,south island northern,New Zealand,Oceania
61447fr,southwest france,France,Europe
91462nz,north island-central west,New Zealand,Oceania
91592nz,north island-southern,New Zealand,Oceania
