organizationid,groupid,quizid,schemeofworkid
3833_15391_8409,3833,15391,8409.0
5906_15391_8409,5906,15391,8409.0
10608_15391_8413,10608,15391,8413.0
10883_15391_8408,10883,15391,8408.0
8414_15391_8408,8414,15391,8408.0
8721_15391_8409,8721,15391,8409.0
11684_15391_8408,11684,15391,8408.0
989_15391_8413,989,15391,8413.0
10708_15391_8413,10708,15391,8413.0
58_15391_8413,58,15391,8413.0
5890_15391_8408,5890,15391,8408.0
7816_15391_8413,7816,15391,8413.0
1868_15391_8399,1868,15391,8399.0
149_15391_8408,149,15391,8408.0
6206_15391_8408,6206,15391,8408.0
5026_15391_8408,5026,15391,8408.0
2159_4907_8413,2159,4907,8413.0
4207_4907_8413,4207,4907,8413.0
2493_4907_8413,2493,4907,8413.0
11355_6722_8408,11355,6722,8408.0
9729_6722_8399,9729,6722,8399.0
4584_6722_8399,4584,6722,8399.0
4570_6722_8399,4570,6722,8399.0
5262_4907_8413,5262,4907,8413.0
8414_6722_8408,8414,6722,8408.0
6480_6722_8399,6480,6722,8399.0
7174_4907_8413,7174,4907,8413.0
4166_4907_8413,4166,4907,8413.0
482_4907_8413,482,4907,8413.0
6697_4907_8413,6697,4907,8413.0
8674_4907_8413,8674,4907,8413.0
10224_6722_8408,10224,6722,8408.0
9168_4907_8413,9168,4907,8413.0
11684_6722_8408,11684,6722,8408.0
6010_6722_8399,6010,6722,8399.0
5885_4907_8413,5885,4907,8413.0
3371_6722_8399,3371,6722,8399.0
5981_4907_8413,5981,4907,8413.0
11581_4907_8413,11581,4907,8413.0
11076_4907_8413,11076,4907,8413.0
9190_6722_8399,9190,6722,8399.0
4611_4907_8413,4611,4907,8413.0
11658_6722_8408,11658,6722,8408.0
11509_6722_8408,11509,6722,8408.0
5026_6722_8408,5026,6722,8408.0
11684_7207_8400,11684,7207,8400.0
11355_7207_8399,11355,7207,8399.0
3326_7207_8399,3326,7207,8399.0
1836_7207_8400,1836,7207,8400.0
8721_7207_8400,8721,7207,8400.0
8414_7207_8400,8414,7207,8400.0
9073_7207_8400,9073,7207,8400.0
8411_7207_8399,8411,7207,8399.0
11658_7207_8400,11658,7207,8400.0
1797_7207_8399,1797,7207,8399.0
10224_7207_8400,10224,7207,8400.0
11669_7207_8399,11669,7207,8399.0
4294_7207_8399,4294,7207,8399.0
