organizationid,groupid,quizid,schemeofworkid
3833_15391_8409,3833,15391,8409.0
10608_15391_8413,10608,15391,8413.0
10883_15391_8408,10883,15391,8408.0
1868_15391_8399,1868,15391,8399.0
11684_7207_8400,11684,7207,8400.0
11581_10844_8412,11581,10844,8412.0
5809_12960_66321,5809,12960,66321.0
4010_14165_28228,4010,14165,28228.0
5446_14165_28237,5446,14165,28237.0
1962_16095_8380,1962,16095,8380.0
8449_3315_40960,8449,3315,40960.0
206_3393_40959,206,3393,40959.0
7976_1810_8378,7976,1810,8378.0
10535_10537_40958,10535,10537,40958.0
9896_695_10241,9896,695,10241.0
6240_15571_8375,6240,15571,8375.0
8336_77_8386,8336,77,8386.0
117_77_66487,117,77,66487.0
5460_2422_10240,5460,2422,10240.0
5075_17042_8388,5075,17042,8388.0
11745_17129_8376,11745,17129,8376.0
9119_14796_8418,9119,14796,8418.0
9617_14796_8415,9617,14796,8415.0
6145_9399_8374,6145,9399,8374.0
1052_10548_8465,1052,10548,8465.0
7600_7461_8419,7600,7461,8419.0
1891_11129_8425,1891,11129,8425.0
6067_11129_8420,6067,11129,8420.0
8414_1062_8940,8414,1062,8940.0
4589_569_8464,4589,569,8464.0
2931_13023_10238,2931,13023,10238.0
4432_2732_10243,4432,2732,10243.0
6104_11445_8492,6104,11445,8492.0
7575_16176_66488,7575,16176,66488.0
4441_13967_10242,4441,13967,10242.0
2671_2441_52562,2671,2441,52562.0
3403_16259_10237,3403,16259,10237.0
1778_1397_8491,1778,1397,8491.0
8386_1397_8466,8386,1397,8466.0
10628_5840_12,10628,5840,12.0
5355_8889_9,5355,8889,9.0
9225_14652_8362,9225,14652,8362.0
10851_14994_10239,10851,14994,10239.0
5239_10656_8467,5239,10656,8467.0
6125_3084_8493,6125,3084,8493.0
1735_8932_10236,1735,8932,10236.0
