userid, dateofbirthid, geoid, gender
17397,20050701,41de,1
95904,20041001,112us,2
35717,20040701,73ie,1
67433,20040301,84it,2
90547,20031101,45de,1
17274,20031201,46de,2
52103,20040201,97nz,2
20895,20040301,48de,2
36282,20050501,119us,2
75390,20040101,510es,1
110588,20030901,1011uk,2
101341,20040401,712ie,1
51816,20021101,1013uk,1
25796,20040601,414de,2
51463,20040801,41de,2
62084,20040401,516es,2
24191,20030901,617fr,1
42267,20050301,518es,2
61580,20040701,919nz,1
868,20050301,720ie,2
95519,20040901,321ca,1
94587,20041201,422de,1
114938,20030201,423de,1
20772,20050301,424de,1
111357,20050801,825it,2
105942,20050101,526es,1
89045,20020901,527es,1
109993,20031101,728ie,1
110402,20040301,422de,2
29771,20040401,630fr,2
58289,20040501,531es,2
65920,20050601,432de,2
79095,20041201,333ca,2
115221,20050401,1034uk,1
46514,20030101,1035uk,2
23838,20050801,1034uk,2
86212,20030901,510es,1
74172,20040901,526es,1
15107,20040401,432de,2
3118,20050101,1040uk,2
118099,20031201,48de,1
110454,20040101,527es,2
89441,20031001,1043uk,2
51768,20040901,510es,2
38886,20040701,246be,1
31491,20031001,518es,1
7403,20050801,148au,1
14017,20050601,1040uk,2
58689,20050501,350ca,1
68308,20031101,527es,2
79189,20050401,45de,2
11716,20031001,422de,1
43405,20040301,720ie,2
89908,20050701,246be,1
15120,20041201,1056uk,1
47887,20030901,857it,2
34400,20031001,458de,1
26439,20050301,919nz,2
49472,20050701,414de,2
47629,20050601,424de,2
10010,20040201,1162us,1
92222,20040501,112us,2
113435,20031001,45de,2
10401,20040401,465de,2
26604,20040901,466de,2
86236,20050501,167au,1
63822,20041101,1011uk,2
92030,20040701,466de,1
26951,20050601,825it,1
28330,20040501,518es,2
44848,20050301,1172us,2
70248,20041001,1011uk,1
61670,20031001,825it,2
66841,20050801,1175us,1
75849,20040701,676fr,2
86949,20050801,531es,1
37970,20050101,478de,2
8383,20040901,466de,2
22268,20040801,84it,2
111558,20040801,73ie,1
3684,20041101,728ie,2
102487,20040401,465de,1
92512,20031001,984nz,1
27866,20040901,48de,1
61163,20050401,1056uk,2
66556,20040201,424de,2
27812,20031101,84it,2
98925,20040701,1013uk,1
71955,20050101,676fr,2
8390,20040801,1043uk,2
15332,20040101,531es,2
71788,20040601,1040uk,1
21917,20041101,73ie,1
113485,20030901,825it,2
48065,20041101,1011uk,1
9061,20040701,423de,1
96080,20050501,919nz,2
59072,20050401,458de,1
67797,20050601,246be,1
97595,20040701,1056uk,1
27349,20040201,4102de,2
257,20040401,10103uk,1
18982,20041001,527es,2
60296,20040901,41de,2
81562,20050601,478de,2
88388,20040401,321ca,1
64331,20040901,466de,1
11028,20050501,825it,1
49698,20050101,84it,2
94882,20041101,4111de,2
35669,20040801,6112fr,1
74282,20040401,465de,2
30350,20031201,1011uk,2
62630,20040201,41de,1
35390,20050201,919nz,2
105783,20040301,3117ca,2
110212,20031101,167au,1
94216,20041101,857it,1
16713,20040101,510es,1
21119,20040301,432de,2
29541,20040201,466de,2
66045,20040701,119us,2
35460,20040101,46de,2
24887,20040601,518es,1
331,20040401,424de,2
1458,20040301,531es,2
39413,20040401,4111de,1
43979,20040101,526es,2
57869,20060801,1040uk,1
81214,20050901,527es,2
1871,20040501,350ca,2
52053,20060201,1056uk,2
109694,20060801,422de,2
8982,20060701,10103uk,1
42735,20040801,45de,1
64991,20060101,1143au,2
100227,20060801,1011uk,2
50993,20060501,478de,2
10538,20060301,1056uk,2
5575,20050501,2149be,1
29633,20030901,825it,2
113059,20060501,48de,1
87730,20040601,10152uk,1
12653,20040101,1162us,2
30736,20031201,527es,2
20316,20040501,478de,1
94785,20040101,432de,1
