organizationid,groupid,quizid,schemeofworkid
3833153918409,3833,15391,8409.0
10608153918413,10608,15391,8413.0
10883153918408,10883,15391,8408.0
1868153918399,1868,15391,8399.0
1168472078400,11684,7207,8400.0
11581108448412,11581,10844,8412.0
58091296066321,5809,12960,66321.0
40101416528228,4010,14165,28228.0
54461416528237,5446,14165,28237.0
1962160958380,1962,16095,8380.0
8449331540960,8449,3315,40960.0
206339340959,206,3393,40959.0
797618108378,7976,1810,8378.0
105351053740958,10535,10537,40958.0
989669510241,9896,695,10241.0
6240155718375,6240,15571,8375.0
8336778386,8336,77,8386.0
1177766487,117,77,66487.0
5460242210240,5460,2422,10240.0
5075170428388,5075,17042,8388.0
11745171298376,11745,17129,8376.0
9119147968418,9119,14796,8418.0
9617147968415,9617,14796,8415.0
614593998374,6145,9399,8374.0
1052105488465,1052,10548,8465.0
760074618419,7600,7461,8419.0
1891111298425,1891,11129,8425.0
6067111298420,6067,11129,8420.0
841410628940,8414,1062,8940.0
45895698464,4589,569,8464.0
29311302310238,2931,13023,10238.0
4432273210243,4432,2732,10243.0
6104114458492,6104,11445,8492.0
75751617666488,7575,16176,66488.0
44411396710242,4441,13967,10242.0
2671244152562,2671,2441,52562.0
34031625910237,3403,16259,10237.0
177813978491,1778,1397,8491.0
838613978466,8386,1397,8466.0
10628584012,10628,5840,12.0
535588899,5355,8889,9.0
9225146528362,9225,14652,8362.0
108511499410239,10851,14994,10239.0
5239106568467,5239,10656,8467.0
612530848493,6125,3084,8493.0
1735893210236,1735,8932,10236.0
